channel_name,video_id,title,publish_date,duration_seconds,view_count,like_count,comment_count
From The Desk Of Anthony Pompliano,72v_iz7lg2s,The Future Of This Channel..,2026-08-06T14:00:22Z,74,7085,465,36
From The Desk Of Anthony Pompliano,4wN3kh6y3Pc,I Have To Save My $150 Million Company | The Mission Ep. 003,2026-07-13T21:06:37Z,218,28541,1228,151
From The Desk Of Anthony Pompliano,cKWrEYEtXOU,Kevin O'Leary Yelled at Me on National Television,2026-07-07T18:15:54Z,74,5373,178,5
From The Desk Of Anthony Pompliano,0uFfZS4jRus,What Wall Street Bears are saying about AI #shorts,2026-07-04T23:38:38Z,32,3685,30,3
From The Desk Of Anthony Pompliano,jlBg0D0Z4RQ,Why AI Money Is Coming Back to Bitcoin,2026-07-03T23:17:15Z,34,8687,122,7
From The Desk Of Anthony Pompliano,eS81leLajfA,CZ Explains The Bitcoin Four-Year Cycle,2026-07-03T11:17:23Z,62,1538,38,4
From The Desk Of Anthony Pompliano,qjgwrfE06JU,Why Volatility Is The Secret to Getting Rich #shorts,2026-07-02T14:59:03Z,31,2077,12,0
From The Desk Of Anthony Pompliano,qmkhiyop1JI,Tom Lee Warns Of A BIG Market CRASH Later This Year,2026-06-19T21:00:37Z,543,33301,1115,251
From The Desk Of Anthony Pompliano,r-x0d-NgGEc,New Fed Chair Kevin Warsh Makes SHOCKING Decision,2026-06-17T22:00:11Z,486,42536,1447,142
From The Desk Of Anthony Pompliano,9NJwkEUi2dw,Bitcoin Is CRASHING AGAIN! Buy The Dip Or Is It Truly Over?,2026-06-04T21:00:16Z,709,39765,1554,260
From The Desk Of Anthony Pompliano,7EbF0mI8Jr4,How To Use AI To Find Stocks To Buy BEFORE They Run,2026-06-03T17:00:12Z,88,2052,70,3
From The Desk Of Anthony Pompliano,KQD1gJaCl38,The BEST WAY To Compound Your Money Into MILLIONS Right Now,2026-06-01T21:00:23Z,852,18952,894,30
From The Desk Of Anthony Pompliano,-mtlYzjSLlE,98.6% Of Crypto Is NEVER Coming Back Except These Coins,2026-05-15T21:00:00Z,1247,43904,1635,301
From The Desk Of Anthony Pompliano,YiPKErGqDrc,The Smart Money Thinks This Could Become A HISTORIC BULL RUN,2026-05-08T21:00:29Z,609,23722,968,81
From The Desk Of Anthony Pompliano,nZzOyNGkiXQ,This Is The End Of The Crypto Industry,2026-05-06T21:00:59Z,816,74715,3215,670
From The Desk Of Anthony Pompliano,CnTsEa21j3M,"Narrative violation: AI Is Creating Jobs, NOT Taking Them Away",2026-05-05T14:15:03Z,100,1176,34,3
From The Desk Of Anthony Pompliano,L-z2vRMM7eY,Wall Street Is Worried About A US Recession,2026-03-29T15:45:00Z,80,2330,70,8
From The Desk Of Anthony Pompliano,q3Z8SmzQXak,Bitcoin Is Crushing Gold Since Iran Conflict Started,2026-03-25T13:52:30Z,76,2561,57,5
From The Desk Of Anthony Pompliano,XSKAHZrQK2M,Anthropic Says AI Is Being UNDERUSED In White Collar Jobs,2026-03-09T16:15:09Z,85,2538,90,4
From The Desk Of Anthony Pompliano,qxFvMYKzNXw,How Your Investment Portfolio Is Affected With Iran Attacks,2026-03-03T16:45:04Z,94,3277,95,2
From The Desk Of Anthony Pompliano,iogjotOgjXc,How To Get Green Candles On Bitcoin Again (Long-term Solution),2026-03-02T13:50:42Z,93,1909,65,1
From The Desk Of Anthony Pompliano,MuDgRwQqhlc,"This Is Why Stocks, Bitcoin Are Struggling Lately",2026-02-25T16:30:09Z,77,2147,80,3
From The Desk Of Anthony Pompliano,82adhWM5w7w,Logan Paul Might've UNDERSOLD His Pokemon Card For $15 Million,2026-02-18T16:00:11Z,95,8496,103,13
From The Desk Of Anthony Pompliano,P3ZnGfRADcA,Is This The END Of Bitcoin?,2026-02-06T22:00:34Z,583,61560,2298,328
From The Desk Of Anthony Pompliano,sNTz_pfj9UY,SpaceX Is Elon Musk's Biggest Idea Yet,2026-02-04T18:15:07Z,75,2170,80,3
From The Desk Of Anthony Pompliano,kv77XLtRwag,"Is New Fed Chair Kevin Warsh Really A ""Hawk""?",2026-02-03T17:30:25Z,97,1722,63,9
From The Desk Of Anthony Pompliano,En8hkfAo9-Q,What is Jerome Powell and the Fed thinking?,2026-02-01T22:45:00Z,64,3760,112,7
From The Desk Of Anthony Pompliano,4PFo1vmDejI,Binance's CZ Reveals Where The Next Crypto Riches Will Be,2026-01-28T17:15:01Z,59,5281,138,5
From The Desk Of Anthony Pompliano,PqqGObVP62I,The Trump Administration Is Telling You The Economy Will Be Run RED HOT,2026-01-22T18:45:03Z,70,2607,92,0
From The Desk Of Anthony Pompliano,yETBp5ryTSo,Trump vs. Powell Is Bad For America,2026-01-13T17:15:11Z,66,712,32,2
